Info 319  [15:16:19.71] getCompletionData: Semantic work: 0
Info 320  [15:16:19.71] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0
Info 321  [15:16:19.434] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 322  [15:16:19.440] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 49 structureChanged: false Elapsed: 6ms
Info 323  [15:16:19.440] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 324  [15:16:19.440] getCompletionData: Get current token: 0
Info 325  [15:16:19.440] getCompletionData: Is inside comment: 0
Info 326  [15:16:19.440] getCompletionData: Get previous token 1: 0
Info 327  [15:16:19.440] getCompletionData: Get previous token 2: 0
Info 328  [15:16:19.440] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 329  [15:16:19.441] getCompletionData: Semantic work: 1
Info 330  [15:16:19.441] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0
Info 331  [15:16:20.382] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
